Time,Ax,Ay,Az
0.00277900695801,98.6476868,66.5565756308,154.829837769
2.01677513123,98.8038889147,66.7284918219,154.931698398
4.02672505379,92.5578084166,56.5113573054,146.387484934
6.03681206703,103.651767389,82.4917689963,164.348981462
8.04598116875,101.303613825,93.5054103899,168.15158641
10.0560350418,97.0083903063,94.4277077117,171.698216366
12.0665431023,81.6210432026,64.6063340886,153.069002416
14.07644701,77.3144747556,73.4678746347,158.934422968
16.086258173,101.112204858,87.9394051802,168.693559806
18.0969521999,101.039975706,87.4528965582,168.662788609
20.1062040329,100.356283973,87.5167462899,169.343749361
22.1160039902,98.7010223775,87.6083527396,170.971337922
24.1264660358,97.7439970705,87.8349379813,171.955461465
26.1368811131,95.9828817989,87.7130768028,173.591947784
28.1468040943,95.8713607283,87.4504273951,173.595394573
30.1567480564,95.8245036243,87.6749031751,173.725577975
32.1668100357,96.5937081115,87.0569139475,172.773950592
34.1760511398,92.1408367362,49.3568798262,139.27600917
36.1867949963,94.4789892114,102.343413494,13.1551327308
38.1961669922,96.0434677114,94.1974322361,7.36706400828
40.206911087,94.3972324769,95.2257246775,6.83752865138
42.2169010639,94.4649699031,96.3703725014,7.78995034916
44.2267320156,94.596820101,97.6621900007,8.9495663887
46.2360570431,95.3219562349,99.9485409062,11.3082478193
48.2468349934,96.2027037232,100.984106053,12.65261391
50.2561461926,95.4193598724,102.814835338,13.9497908648
52.2669870853,92.2036977269,109.305145035,19.4405041518
54.2767372131,88.3975379129,107.545936032,17.623724935
56.286809206,93.156194214,113.844913727,24.07891262
58.2959752083,95.9551662045,118.192485457,28.9268892409
60.3168480396,96.8008236262,116.019030027,27.0245365219
62.3272070885,93.8103889255,119.489252221,29.7836102552
64.3368210793,94.5878796194,116.792637097,27.2455448455
66.3468310833,96.8055858269,115.786460588,26.7994895027
68.3561451435,96.6657243782,120.069271886,30.9517852953
70.3668580055,96.4455923314,6.48281656743,90.6907965081
72.3761131763,114.414186314,84.2889782425,154.840470364
74.3867731094,109.074156942,54.0967531453,137.830479017
76.3967251778,92.3563290889,103.921122404,165.872905035
78.4068510532,59.8168888994,63.1982891699,137.519252228
80.4167401791,152.96111283,83.5127035093,116.125016805
82.4273381233,158.115443232,76.2926185727,106.721398128
84.4360160828,89.4453663884,116.552579275,153.440708139
86.4469101429,96.4412654218,91.6915659961,173.338501825
88.4559102058,115.325203555,94.1379686465,154.291099804
